City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,-33.65,115.3333,60.01,72.0,26.0,5.99,AU,1615746834.0
faanui,-16.4833,-151.75,82.65,74.0,100.0,16.13,PF,1615746993.0
wembley,-31.9333,115.8,69.01,37.0,0.0,17.27,AU,1615746993.0
okhotsk,59.3833,143.3,1.8,78.0,99.0,9.26,RU,1615746993.0
itarema,-2.9248,-39.9167,83.59,66.0,41.0,12.93,BR,1615746823.0
ilulissat,69.2167,-51.1,12.2,57.0,75.0,4.61,GL,1615746827.0
huarmey,-10.0681,-78.1522,78.19,68.0,27.0,10.25,PE,1615746867.0
atar,20.5169,-13.0499,83.17,15.0,0.0,8.84,MR,1615746994.0
souillac,-20.5167,57.5167,78.8,94.0,75.0,10.36,MU,1615746866.0
berlevag,70.8578,29.0864,26.6,93.0,75.0,3.44,NO,1615746994.0
pevek,69.7008,170.3133,-5.04,97.0,100.0,13.58,RU,1615746845.0
funtua,11.5233,7.3081,85.3,16.0,57.0,7.45,NG,1615746825.0
panguna,-6.3164,155.4848,67.21,92.0,100.0,0.98,PG,1615746995.0
punta arenas,-53.15,-70.9167,50.0,76.0,0.0,9.22,CL,1615746830.0
qaqortoq,60.7167,-46.0333,35.6,55.0,75.0,13.8,GL,1615746995.0
mrakovo,52.7161,56.6244,9.55,83.0,100.0,3.4,RU,1615746995.0
marabba,12.35,32.1833,90.7,14.0,22.0,8.59,SD,1615746996.0
mayo,38.8876,-76.5119,59.0,30.0,20.0,12.66,US,1615746832.0
tazovskiy,67.4667,78.7,-0.09,98.0,100.0,4.27,RU,1615746826.0
castro,-24.7911,-50.0119,79.21,61.0,0.0,4.92,BR,1615746871.0
buin,-33.7333,-70.75,82.99,41.0,0.0,6.91,CL,1615746996.0
georgetown,5.4112,100.3354,80.6,78.0,20.0,3.44,MY,1615746825.0
bredasdorp,-34.5322,20.0403,64.4,94.0,100.0,4.61,ZA,1615746997.0
hithadhoo,-0.6,73.0833,84.52,66.0,100.0,7.07,MV,1615746997.0
east london,-33.0153,27.9116,71.6,88.0,90.0,6.91,ZA,1615746997.0
tuktoyaktuk,69.4541,-133.0374,-22.0,76.0,20.0,8.05,CA,1615746997.0
arkhangelsk,64.5401,40.5433,33.8,93.0,75.0,4.47,RU,1615746745.0
bluff,-46.6,168.3333,62.01,68.0,100.0,1.01,NZ,1615746829.0
puerto ayora,-0.7393,-90.3518,82.99,78.0,40.0,9.22,EC,1615746824.0
albany,42.6001,-73.9662,39.0,48.0,100.0,3.0,US,1615746822.0
samarai,-10.6167,150.6667,80.94,78.0,75.0,6.55,PG,1615746998.0
benguela,-12.5763,13.4055,80.85,79.0,100.0,6.17,AO,1615746829.0
mataura,-46.1927,168.8643,62.01,68.0,100.0,1.01,NZ,1615746998.0
san andres,12.5847,-81.7006,86.0,62.0,20.0,13.8,CO,1615746999.0
rikitea,-23.1203,-134.9692,80.22,78.0,30.0,13.8,PF,1615746999.0
saskylakh,71.9167,114.0833,-31.97,90.0,0.0,3.6,RU,1615746999.0
saint-augustin,51.226,-58.6502,21.09,82.0,100.0,10.42,CA,1615746999.0
narsaq,60.9167,-46.05,35.6,55.0,75.0,13.8,GL,1615746831.0
mackay,-21.15,149.2,71.6,94.0,75.0,4.61,AU,1615746921.0
minbu,20.1833,94.8833,75.69,39.0,40.0,3.2,MM,1615747000.0
jamestown,42.097,-79.2353,39.99,51.0,90.0,19.06,US,1615746743.0
chuy,-33.6971,-53.4616,73.72,58.0,0.0,9.57,UY,1615747000.0
lamu,-2.2717,40.902,80.6,78.0,1.0,8.05,KE,1615746833.0
pecos,31.4229,-103.4932,60.8,17.0,40.0,32.21,US,1615747001.0
nuuk,64.1835,-51.7216,21.2,68.0,75.0,12.66,GL,1615747001.0
santiago,-33.4569,-70.6483,84.0,41.0,0.0,6.91,CL,1615746859.0
puerto escondido,15.85,-97.0667,84.2,74.0,20.0,5.75,MX,1615747001.0
coquimbo,-29.9533,-71.3436,66.2,63.0,75.0,10.36,CL,1615747002.0
qaanaaq,77.484,-69.3632,-1.95,66.0,100.0,3.04,GL,1615747002.0
susanville,40.4163,-120.653,46.99,42.0,1.0,4.61,US,1615747002.0
lafia,8.4833,8.5167,83.8,52.0,1.0,8.86,NG,1615747002.0
vardo,70.3705,31.1107,30.2,74.0,75.0,9.22,NO,1615746928.0
ribeira grande,38.5167,-28.7,62.6,94.0,40.0,11.5,PT,1615747003.0
tyret pervaya,53.6703,102.3106,-0.9,95.0,0.0,3.49,RU,1615747003.0
solnechnyy,50.7214,136.6319,25.23,86.0,66.0,7.74,RU,1615747003.0
vaini,-21.2,-175.2,71.6,94.0,40.0,2.3,TO,1615747004.0
ucluelet,48.9329,-125.5528,42.8,87.0,90.0,6.91,CA,1615746936.0
kapaa,22.0752,-159.319,69.01,94.0,75.0,24.16,US,1615747004.0
new norfolk,-42.7826,147.0587,63.0,64.0,93.0,3.0,AU,1615747004.0
sitka,57.0531,-135.33,28.4,64.0,20.0,8.05,US,1615746837.0
kununurra,-15.7667,128.7333,80.6,100.0,90.0,5.75,AU,1615746837.0
telimele,10.9167,-13.3333,86.95,31.0,100.0,7.2,GN,1615747005.0
rocha,-34.4833,-54.3333,73.72,58.0,0.0,8.39,UY,1615747005.0
hilo,19.7297,-155.09,70.0,83.0,20.0,3.44,US,1615747005.0
ushuaia,-54.8,-68.3,50.0,57.0,0.0,5.75,AR,1615746821.0
sovetskaya gavan,48.9723,140.2878,32.36,67.0,0.0,3.13,RU,1615746838.0
grand-lahou,5.1367,-5.0242,80.6,81.0,100.0,6.85,CI,1615747006.0
kodiak,57.79,-152.4072,32.0,86.0,90.0,11.5,US,1615747006.0
port blair,11.6667,92.75,80.17,76.0,23.0,2.71,IN,1615746866.0
meulaboh,4.1363,96.1285,76.86,87.0,100.0,4.41,ID,1615746839.0
horconcitos,8.4682,-81.8007,80.1,48.0,62.0,7.36,PA,1615747006.0
capreol,46.706,-80.9225,21.99,42.0,20.0,20.71,CA,1615747007.0
hudiksvall,61.729,17.1036,31.28,99.0,94.0,2.33,SE,1615746840.0
port alfred,-33.5906,26.891,71.01,94.0,95.0,8.88,ZA,1615747007.0
tual,-5.6667,132.75,83.34,71.0,77.0,6.98,ID,1615747007.0
phan thiet,10.9333,108.1,70.61,84.0,1.0,6.13,VN,1615747008.0
juneau,58.3019,-134.4197,24.01,73.0,6.0,3.62,US,1615746870.0
turmalina,-17.2856,-42.73,78.57,57.0,100.0,4.0,BR,1615746841.0
torbay,47.6666,-52.7314,32.0,64.0,75.0,16.11,CA,1615746926.0
bathsheba,13.2167,-59.5167,84.2,61.0,75.0,13.8,BB,1615747008.0
paka,4.6374,103.4368,78.8,89.0,7.0,5.99,MY,1615747008.0
kavieng,-2.5744,150.7967,81.45,70.0,99.0,3.22,PG,1615747009.0
arraial do cabo,-22.9661,-42.0278,91.4,62.0,0.0,16.11,BR,1615746843.0
